County,First Dose,Series Complete,Report as of
New York,1030299,906260,6/2/21
Queens,1314984,1113512,6/2/21
Richmond,230230,200462,6/2/21
Bronx,611291,511646,6/3/21
Kings,1180572,1006748,6/3/21
New York,1033764,911871,6/3/21
Queens,1321037,1121642,6/3/21
Richmond,231167,201746,6/3/21
Bronx,614735,516035,6/4/21
Kings,1184935,1013875,6/4/21
New York,1037339,918612,6/4/21
Queens,1326492,1129554,6/4/21
Richmond,231979,202956,6/4/21
Bronx,617033,519101,6/5/21
Kings,1188637,1019861,6/5/21
New York,1040015,924219,6/5/21
Queens,1331409,1137598,6/5/21
Richmond,232665,204112,6/5/21
Bronx,618302,521174,6/6/21
Kings,1191115,1024134,6/6/21
New York,1041842,928648,6/6/21
Queens,1334218,1143741,6/6/21
Richmond,233179,204865,6/6/21
Bronx,620803,524850,6/7/21
Kings,1194746,1029986,6/7/21
New York,1044621,933761,6/7/21
Queens,1338267,1150335,6/7/21
Richmond,233695,205686,6/7/21
Bronx,623749,528620,6/8/21
Kings,1199437,1037343,6/8/21
New York,1048524,940334,6/8/21
Queens,1343345,1158319,6/8/21
Richmond,234393,206809,6/8/21
Bronx,627212,532813,6/9/21
Kings,1205159,1046409,6/9/21
New York,1052508,945713,6/9/21
Queens,1349673,1167628,6/9/21
Richmond,235854,208249,6/9/21
Bronx,630242,536967,6/10/21
Kings,1209088,1053503,6/10/21
New York,1055984,950243,6/10/21
Queens,1354515,1175214,6/10/21
Richmond,236527,209232,6/10/21
Bronx,633194,542218,6/11/21
Kings,1213400,1060965,6/11/21
New York,1059276,955257,6/11/21
Queens,1359388,1183614,6/11/21
Richmond,237086,210394,6/11/21
Bronx,634893,544736,6/12/21
Kings,1215977,1065639,6/12/21
New York,1061398,958248,6/12/21
Queens,1362624,1189448,6/12/21
Richmond,237510,211175,6/12/21
Bronx,635779,546272,6/13/21
Kings,1218018,1069280,6/13/21
New York,1062859,960638,6/13/21
Queens,1364696,1194101,6/13/21
Richmond,237776,211684,6/13/21
Bronx,638808,551097,6/14/21
Kings,1222080,1075804,6/14/21
New York,1066068,965580,6/14/21
Queens,1369468,1202742,6/14/21
Richmond,238565,213397,6/14/21
Bronx,641913,555401,6/15/21
Kings,1225895,1082622,6/15/21
New York,1069070,969829,6/15/21
Queens,1373754,1210762,6/15/21
Richmond,239191,214513,6/15/21
Bronx,644972,559378,6/16/21
Kings,1229525,1088781,6/16/21
New York,1072071,973799,6/16/21
Queens,1378179,1217980,6/16/21
Richmond,239760,215577,6/16/21
Bronx,647738,563714,6/17/21
Kings,1233367,1095923,6/17/21
New York,1075368,978012,6/17/21
Queens,1383020,1225604,6/17/21
Richmond,240565,216819,6/17/21
Bronx,650132,566888,6/18/21
Kings,1236148,1100313,6/18/21
New York,1077940,981198,6/18/21
Queens,1386625,1231168,6/18/21
Richmond,241056,217714,6/18/21
Bronx,652136,569939,6/19/21
Kings,1239868,1106170,6/19/21
New York,1080581,984440,6/19/21
Queens,1391597,1238769,6/19/21
Richmond,241604,218755,6/19/21
Bronx,653487,571834,6/20/21
Kings,1241769,1109109,6/20/21
New York,1082536,986564,6/20/21
Queens,1393758,1242337,6/20/21
Richmond,241937,219281,6/20/21
Bronx,655399,573942,6/21/21
Kings,1244567,1112735,6/21/21
New York,1084419,988681,6/21/21
Queens,1397121,1246647,6/21/21
Richmond,242334,219749,6/21/21
Bronx,657601,576879,6/22/21
Kings,1247702,1116434,6/22/21
New York,1086932,991112,6/22/21
Queens,1400986,1251174,6/22/21
Richmond,242801,220318,6/22/21
Bronx,659896,580347,6/23/21
Kings,1251448,1121508,6/23/21
New York,1089427,994198,6/23/21
Queens,1405027,1256851,6/23/21
Richmond,243341,221140,6/23/21
Bronx,662512,583941,6/24/21
Kings,1255306,1127024,6/24/21
New York,1092459,997829,6/24/21
Queens,1409363,1262959,6/24/21
Richmond,244065,222155,6/24/21
Bronx,665756,588303,6/25/21
Kings,1261055,1136158,6/25/21
New York,1097426,1006424,6/25/21
Queens,1415675,1273064,6/25/21
Richmond,244911,223790,6/25/21
Bronx,668587,592107,6/26/21
Kings,1267070,1145975,6/26/21
New York,1102001,1015871,6/26/21
Queens,1423668,1284992,6/26/21
Richmond,245916,225560,6/26/21
Bronx,669468,593109,6/27/21
Kings,1268874,1148208,6/27/21
New York,1103418,1017196,6/27/21
Queens,1425738,1287336,6/27/21
Richmond,246233,226025,6/27/21
Bronx,671370,595458,6/28/21
Kings,1271727,1151286,6/28/21
New York,1105237,1018956,6/28/21
Queens,1429025,1291167,6/28/21
Richmond,246741,226608,6/28/21
Bronx,673509,598018,6/29/21
Kings,1274829,1154751,6/29/21
New York,1107468,1021277,6/29/21
Queens,1432872,1295471,6/29/21
Richmond,247296,227152,6/29/21
Bronx,675732,600795,6/30/21
Kings,1278692,1159388,6/30/21
New York,1110127,1024427,6/30/21
Queens,1437298,1300776,6/30/21
Richmond,247887,227878,6/30/21
Bronx,677847,603212,7/1/21
Kings,1281870,1162874,7/1/21
New York,1112376,1026760,7/1/21
Queens,1441920,1305801,7/1/21
Richmond,248475,228422,7/1/21
Bronx,680080,605978,7/2/21
Kings,1284793,1166444,7/2/21
New York,1114878,1029189,7/2/21
Queens,1445366,1309639,7/2/21
Richmond,248996,229043,7/2/21
Bronx,681314,607688,7/3/21
Kings,1287362,1169681,7/3/21
New York,1116596,1030913,7/3/21
Queens,1448220,1313299,7/3/21
Richmond,249487,229510,7/3/21
Bronx,681842,608256,7/4/21
Kings,1288833,1171161,7/4/21
New York,1117680,1031720,7/4/21
Queens,1449885,1314726,7/4/21
Richmond,249724,229660,7/4/21
Bronx,682458,609037,7/5/21
Kings,1290167,1173038,7/5/21
New York,1118595,1032675,7/5/21
Queens,1451253,1316516,7/5/21
Richmond,249936,229911,7/5/21
Bronx,684438,611907,7/6/21
Kings,1292967,1176320,7/6/21
New York,1120722,1034810,7/6/21
Queens,1454497,1320349,7/6/21
Richmond,250436,230498,7/6/21
Bronx,686645,615061,7/7/21
Kings,1295867,1179747,7/7/21
New York,1122732,1036925,7/7/21
Queens,1457961,1324387,7/7/21
Richmond,250879,231055,7/7/21
Bronx,688744,617640,7/8/21
Kings,1298885,1183240,7/8/21
New York,1124807,1039026,7/8/21
Queens,1461772,1327858,7/8/21
Richmond,251435,231639,7/8/21
Bronx,690627,620044,7/9/21
Kings,1301832,1186898,7/9/21
New York,1126880,1041090,7/9/21
Queens,1464841,1331338,7/9/21
Richmond,252005,232196,7/9/21
Bronx,691865,621703,7/10/21
Kings,1304199,1189925,7/10/21
New York,1128371,1042764,7/10/21
Queens,1467890,1335490,7/10/21
Richmond,252439,232709,7/10/21
Bronx,692523,622509,7/11/21
Kings,1305871,1191820,7/11/21
New York,1129609,1043812,7/11/21
Queens,1470078,1337872,7/11/21
Richmond,252747,233040,7/11/21
Bronx,694243,624406,7/12/21
Kings,1308020,1194454,7/12/21
New York,1131317,1045254,7/12/21
Queens,1472976,1341110,7/12/21
Richmond,253166,233516,7/12/21
Bronx,696156,626243,7/13/21
Kings,1310783,1197128,7/13/21
New York,1133138,1046982,7/13/21
Queens,1475916,1344001,7/13/21
Richmond,253611,233903,7/13/21
Bronx,698258,628455,7/14/21
Kings,1313706,1200219,7/14/21
New York,1135151,1048896,7/14/21
Queens,1479071,1347510,7/14/21
Richmond,254101,234379,7/14/21
Bronx,699970,630578,7/15/21
Kings,1316276,1202796,7/15/21
New York,1136952,1050670,7/15/21
Queens,1481881,1350729,7/15/21
Richmond,254684,234876,7/15/21
Bronx,701689,632718,7/16/21
Kings,1318818,1205190,7/16/21
New York,1138882,1052540,7/16/21
Queens,1484820,1353775,7/16/21
Richmond,255379,235378,7/16/21
Bronx,703161,634420,7/17/21
Kings,1321461,1207960,7/17/21
New York,1140440,1053905,7/17/21
Queens,1487823,1357290,7/17/21
Richmond,255850,235842,7/17/21
Bronx,704256,635472,7/18/21
Kings,1323315,1210250,7/18/21
New York,1141768,1054966,7/18/21
Queens,1489980,1359858,7/18/21
Richmond,256202,236229,7/18/21
Bronx,706287,637181,7/19/21
Kings,1325844,1212696,7/19/21
New York,1143381,1056298,7/19/21
Queens,1492801,1362692,7/19/21
Richmond,256596,236674,7/19/21
Bronx,708563,639183,7/20/21
Kings,1328804,1215472,7/20/21
New York,1145387,1058008,7/20/21
Queens,1496009,1365886,7/20/21
Richmond,257125,237095,7/20/21
Bronx,710868,641084,7/21/21
Kings,1332088,1218338,7/21/21
New York,1147458,1059540,7/21/21
Queens,1499560,1369078,7/21/21
Richmond,257747,237508,7/21/21
Bronx,713183,643077,7/22/21
Kings,1336152,1221232,7/22/21
New York,1149677,1061263,7/22/21
Queens,1503066,1372144,7/22/21
Richmond,258348,238026,7/22/21
Bronx,715859,645219,7/23/21
Kings,1339755,1224180,7/23/21
New York,1152743,1063693,7/23/21
Queens,1507202,1375665,7/23/21
Richmond,259243,238786,7/23/21
Bronx,717362,646319,7/24/21
Kings,1342679,1226577,7/24/21
New York,1154347,1064783,7/24/21
Queens,1510418,1378511,7/24/21
Richmond,259733,239216,7/24/21
Bronx,718134,646902,7/25/21
Kings,1344490,1228154,7/25/21
New York,1155519,1065577,7/25/21
Queens,1512311,1380358,7/25/21
Richmond,260098,239502,7/25/21
Bronx,720058,647896,7/26/21
Kings,1347497,1229928,7/26/21
New York,1157174,1066531,7/26/21
Queens,1515335,1382035,7/26/21
Richmond,260730,239836,7/26/21
Bronx,722720,649853,7/27/21
Kings,1351008,1232487,7/27/21
New York,1159261,1068306,7/27/21
Queens,1518901,1386762,7/27/21
Richmond,261348,240314,7/27/21
Bronx,725559,651652,7/28/21
Kings,1354534,1235170,7/28/21
New York,1161553,1069827,7/28/21
Queens,1523055,1389939,7/28/21
Richmond,262035,240741,7/28/21
Bronx,728036,653390,7/29/21
Kings,1357967,1237768,7/29/21
New York,1163736,1071297,7/29/21
Queens,1526852,1392578,7/29/21
Richmond,262758,241190,7/29/21
Bronx,731501,655440,7/30/21
Kings,1362696,1240649,7/30/21
New York,1166642,1073039,7/30/21
Queens,1531763,1395746,7/30/21
Richmond,263691,241718,7/30/21
Bronx,733299,656553,7/31/21
Kings,1366222,1243011,7/31/21
New York,1168383,1074025,7/31/21
Queens,1535788,1398644,7/31/21
Richmond,264583,242258,7/31/21
Bronx,734217,657056,8/1/21
Kings,1368325,1244431,8/1/21
New York,1169592,1074747,8/1/21
Queens,1538457,1400597,8/1/21
Richmond,265061,242542,8/1/21
Bronx,736820,658318,8/2/21
Kings,1371894,1246386,8/2/21
New York,1171477,1075856,8/2/21
Queens,1542389,1403100,8/2/21
Richmond,265570,242843,8/2/21
Bronx,740175,660213,8/3/21
Kings,1376505,1248936,8/3/21
New York,1174136,1077392,8/3/21
Queens,1547237,1405960,8/3/21
Richmond,266262,243301,8/3/21
Bronx,744095,662547,8/4/21
Kings,1381603,1251807,8/4/21
New York,1177104,1079095,8/4/21
Queens,1552318,1408876,8/4/21
Richmond,267215,243833,8/4/21
Bronx,748153,664629,8/5/21
Kings,1387592,1254945,8/5/21
New York,1180150,1080725,8/5/21
Queens,1558128,1411884,8/5/21
Richmond,268560,244488,8/5/21
Bronx,752025,666516,8/6/21
Kings,1393227,1257825,8/6/21
New York,1183115,1082264,8/6/21
Queens,1564035,1414888,8/6/21
Richmond,269650,244979,8/6/21
Bronx,754802,667708,8/7/21
Kings,1397566,1260059,8/7/21
New York,1185389,1083289,8/7/21
Queens,1569292,1417483,8/7/21
Richmond,270590,245405,8/7/21
Bronx,756282,668343,8/8/21
Kings,1400630,1261486,8/8/21
New York,1186818,1084013,8/8/21
Queens,1572904,1419472,8/8/21
Richmond,271191,245680,8/8/21
Bronx,760819,670080,8/9/21
Kings,1405699,1263931,8/9/21
New York,1189406,1085325,8/9/21
Queens,1578750,1421983,8/9/21
Richmond,272038,246112,8/9/21
Bronx,765417,672076,8/10/21
Kings,1410553,1266225,8/10/21
New York,1192384,1086894,8/10/21
Queens,1583879,1424299,8/10/21
Richmond,273016,246643,8/10/21
Bronx,769241,674115,8/11/21
Kings,1415730,1269229,8/11/21
New York,1195208,1088476,8/11/21
Queens,1589452,1427508,8/11/21
Richmond,273937,247192,8/11/21
Bronx,773190,676462,8/12/21
Kings,1421394,1272737,8/12/21
New York,1198116,1090252,8/12/21
Queens,1595204,1431331,8/12/21
Richmond,275310,247947,8/12/21
Bronx,776683,678374,8/13/21
Kings,1425777,1275595,8/13/21
New York,1200685,1091758,8/13/21
Queens,1599904,1434563,8/13/21
Richmond,276292,248453,8/13/21
Bronx,778825,679755,8/14/21
Kings,1429249,1278006,8/14/21
New York,1202453,1092846,8/14/21
Queens,1603642,1437407,8/14/21
Richmond,276973,248890,8/14/21
Bronx,780024,680438,8/15/21
Kings,1431942,1279781,8/15/21
New York,1203990,1093587,8/15/21
Queens,1606319,1439173,8/15/21
Richmond,277631,249242,8/15/21
Bronx,783372,682230,8/16/21
Kings,1436205,1282696,8/16/21
New York,1206434,1094902,8/16/21
Queens,1610597,1442160,8/16/21
Richmond,278348,249755,8/16/21
Bronx,787460,684706,8/17/21
Kings,1441498,1285971,8/17/21
New York,1210189,1096775,8/17/21
Queens,1615637,1445479,8/17/21
Richmond,279290,250363,8/17/21
Bronx,791684,687094,8/18/21
Kings,1446589,1289011,8/18/21
New York,1213875,1098417,8/18/21
Queens,1621272,1449076,8/18/21
Richmond,280380,250998,8/18/21
Bronx,795526,689384,8/19/21
Kings,1451695,1292053,8/19/21
New York,1217438,1099980,8/19/21
Queens,1626365,1452383,8/19/21
Richmond,281674,251703,8/19/21
Bronx,798971,691868,8/20/21
Kings,1456469,1295319,8/20/21
New York,1220757,1101779,8/20/21
Queens,1631192,1455907,8/20/21
Richmond,282601,252321,8/20/21
Bronx,801140,693317,8/21/21
Kings,1459730,1297980,8/21/21
New York,1222984,1102907,8/21/21
Queens,1635522,1459391,8/21/21
Richmond,283359,252923,8/21/21
Bronx,801650,693779,8/22/21
Kings,1461055,1299138,8/22/21
New York,1224305,1103568,8/22/21
Queens,1637361,1461147,8/22/21
Richmond,283726,253325,8/22/21
Bronx,805137,696072,8/23/21
Kings,1464826,1302095,8/23/21
New York,1226598,1104911,8/23/21
Queens,1641814,1464758,8/23/21
Richmond,284584,253840,8/23/21
Bronx,809774,699024,8/24/21
Kings,1469529,1305764,8/24/21
New York,1230050,1106862,8/24/21
Queens,1647093,1469114,8/24/21
Richmond,285715,254627,8/24/21
Bronx,813335,701705,8/25/21
Kings,1474039,1309609,8/25/21
New York,1233210,1108655,8/25/21
Queens,1651698,1473190,8/25/21
Richmond,286642,255404,8/25/21
Bronx,817055,704618,8/26/21
Kings,1479009,1314228,8/26/21
New York,1236398,1110588,8/26/21
Queens,1656539,1477693,8/26/21
Richmond,287709,256455,8/26/21
Bronx,820384,707490,8/27/21
Kings,1483125,1318343,8/27/21
New York,1239541,1112603,8/27/21
Queens,1660922,1482219,8/27/21
Richmond,288557,257293,8/27/21
Bronx,822462,709566,8/28/21
Kings,1486652,1321929,8/28/21
New York,1241716,1114137,8/28/21
Queens,1664730,1486606,8/28/21
Richmond,289330,258183,8/28/21
Bronx,823462,710473,8/29/21
Kings,1488727,1324282,8/29/21
New York,1243226,1115085,8/29/21
Queens,1667285,1489630,8/29/21
Richmond,290064,258723,8/29/21
Bronx,826936,714307,8/30/21
Kings,1493787,1329108,8/30/21
New York,1246347,1117111,8/30/21
Queens,1671930,1494502,8/30/21
Richmond,290963,259534,8/30/21
Bronx,831054,718323,8/31/21
Kings,1498645,1333936,8/31/21
New York,1250184,1119618,8/31/21
Queens,1676997,1499832,8/31/21
Richmond,291846,260443,8/31/21
Bronx,835218,721969,9/1/21
Kings,1504149,1338608,9/1/21
New York,1253853,1121794,9/1/21
Queens,1682115,1504774,9/1/21
Richmond,292751,261315,9/1/21
Bronx,840741,726004,9/2/21
Kings,1512176,1344510,9/2/21
New York,1258856,1124483,9/2/21
Queens,1688806,1510263,9/2/21
Richmond,293997,262380,9/2/21
Bronx,845070,729501,9/3/21
Kings,1518261,1349431,9/3/21
New York,1262772,1126703,9/3/21
Queens,1694078,1514940,9/3/21
Richmond,294943,263353,9/3/21
Bronx,847559,731741,9/4/21
Kings,1522054,1353013,9/4/21
New York,1265202,1128089,9/4/21
Queens,1697892,1518605,9/4/21
Richmond,295780,264166,9/4/21
Bronx,849238,733020,9/5/21
Kings,1525233,1355892,9/5/21
New York,1267274,1129121,9/5/21
Queens,1701033,1521403,9/5/21
Richmond,296369,264811,9/5/21
Bronx,850632,733977,9/6/21
Kings,1527571,1357775,9/6/21
New York,1268697,1129860,9/6/21
Queens,1703535,1523504,9/6/21
Richmond,296788,265230,9/6/21
Bronx,854127,737519,9/7/21
Kings,1531433,1361621,9/7/21
New York,1271056,1131791,9/7/21
Queens,1706820,1527162,9/7/21
Richmond,297446,265814,9/7/21
Bronx,858338,741492,9/8/21
Kings,1536343,1366266,9/8/21
New York,1274306,1134112,9/8/21
Queens,1711413,1532271,9/8/21
Richmond,298517,266866,9/8/21
Bronx,864718,747608,9/9/21
Kings,1542494,1371650,9/9/21
New York,1277877,1136408,9/9/21
Queens,1716357,1536912,9/9/21
Richmond,299583,267842,9/9/21
Bronx,869196,751040,9/10/21
Kings,1548329,1376135,9/10/21
New York,1281624,1138470,9/10/21
Queens,1721284,1541225,9/10/21
Richmond,300674,268697,9/10/21
Bronx,872808,753698,9/11/21
Kings,1552964,1379939,9/11/21
New York,1284486,1140176,9/11/21
Queens,1726010,1545440,9/11/21
Richmond,301651,269518,9/11/21
Bronx,874777,754829,9/12/21
Kings,1556128,1382003,9/12/21
New York,1286397,1141062,9/12/21
Queens,1729021,1547893,9/12/21
Richmond,302285,269995,9/12/21
Bronx,878631,757463,9/13/21
Kings,1561149,1385459,9/13/21
New York,1289602,1142861,9/13/21
Queens,1732867,1551234,9/13/21
Richmond,303040,270571,9/13/21
Bronx,883007,760961,9/14/21
Kings,1566714,1389656,9/14/21
New York,1293138,1145016,9/14/21
Queens,1737672,1555477,9/14/21
Richmond,304029,271421,9/14/21
Bronx,887208,764518,9/15/21
Kings,1572021,1393823,9/15/21
New York,1296354,1147057,9/15/21
Queens,1742820,1560239,9/15/21
Richmond,304996,272233,9/15/21
Bronx,891459,768110,9/16/21
Kings,1577853,1398127,9/16/21
New York,1299480,1148972,9/16/21
Queens,1749012,1565234,9/16/21
Richmond,305993,273128,9/16/21
Bronx,895423,771553,9/17/21
Kings,1582799,1402401,9/17/21
New York,1302779,1150945,9/17/21
Queens,1754013,1569976,9/17/21
Richmond,306933,273980,9/17/21
Bronx,897681,773918,9/18/21
Kings,1586905,1406416,9/18/21
New York,1305126,1152542,9/18/21
Queens,1758160,1574464,9/18/21
Richmond,307674,274771,9/18/21
Bronx,898881,775032,9/19/21
Kings,1589483,1408843,9/19/21
New York,1306685,1153497,9/19/21
Queens,1760600,1576938,9/19/21
Richmond,308253,275386,9/19/21
Bronx,901827,777705,9/20/21
Kings,1593072,1412130,9/20/21
New York,1308937,1155147,9/20/21
Queens,1764017,1580239,9/20/21
Richmond,309138,276078,9/20/21
Bronx,905416,781270,9/21/21
Kings,1597674,1416357,9/21/21
New York,1312382,1157673,9/21/21
Queens,1768521,1584620,9/21/21
Richmond,310077,276990,9/21/21
Bronx,908712,784492,9/22/21
Kings,1601534,1419856,9/22/21
New York,1314715,1159466,9/22/21
Queens,1771832,1588240,9/22/21
Richmond,310817,277685,9/22/21
Bronx,912797,787901,9/23/21
Kings,1607323,1424884,9/23/21
New York,1317939,1161663,9/23/21
Queens,1776399,1592548,9/23/21
Richmond,311986,278610,9/23/21
Bronx,917319,791541,9/24/21
Kings,1613314,1429549,9/24/21
New York,1321308,1163923,9/24/21
Queens,1781015,1596810,9/24/21
Richmond,313342,279605,9/24/21
Bronx,920071,793995,9/25/21
Kings,1617725,1433215,9/25/21
New York,1323018,1165306,9/25/21
Queens,1784483,1600184,9/25/21
Richmond,314196,280326,9/25/21
Bronx,921449,795201,9/26/21
Kings,1620297,1435402,9/26/21
New York,1324032,1166136,9/26/21
Queens,1786578,1602411,9/26/21
Richmond,314857,280828,9/26/21
Bronx,925082,797386,9/27/21
Kings,1625031,1438533,9/27/21
New York,1325815,1167413,9/27/21
Queens,1789920,1605352,9/27/21
Richmond,315609,281437,9/27/21
Bronx,928143,800410,9/28/21
Kings,1628991,1442274,9/28/21
New York,1327419,1168852,9/28/21
Queens,1792772,1608141,9/28/21
Richmond,316297,281879,9/28/21
Bronx,931091,803650,9/29/21
Kings,1633107,1446059,9/29/21
New York,1329172,1170299,9/29/21
Queens,1795745,1611160,9/29/21
Richmond,316943,282377,9/29/21
Bronx,933683,806162,9/30/21
Kings,1636300,1449236,9/30/21
New York,1330510,1171444,9/30/21
Queens,1797962,1613399,9/30/21
Richmond,317597,282889,9/30/21
Bronx,936953,809883,10/1/21
Kings,1641371,1453896,10/1/21
New York,1332861,1173685,10/1/21
Queens,1801947,1617565,10/1/21
Richmond,318720,284009,10/1/21
Bronx,939636,813324,10/2/21
Kings,1646208,1459260,10/2/21
New York,1335026,1175783,10/2/21
Queens,1805964,1622681,10/2/21
Richmond,319753,285023,10/2/21
Bronx,940749,814725,10/3/21
Kings,1648341,1461931,10/3/21
New York,1335920,1176691,10/3/21
Queens,1807765,1624990,10/3/21
Richmond,320134,285525,10/3/21
Bronx,942959,817217,10/4/21
Kings,1651727,1465540,10/4/21
New York,1337389,1178096,10/4/21
Queens,1810192,1627823,10/4/21
Richmond,320678,286257,10/4/21
Bronx,945397,819951,10/5/21
Kings,1655605,1469005,10/5/21
New York,1338995,1179667,10/5/21
Queens,1812883,1630789,10/5/21
Richmond,321346,286817,10/5/21
Bronx,948284,823187,10/6/21
Kings,1660001,1473645,10/6/21
New York,1341076,1181587,10/6/21
Queens,1816058,1634715,10/6/21
Richmond,321892,287628,10/6/21
Bronx,950632,826160,10/7/21
Kings,1663997,1478074,10/7/21
New York,1342647,1183215,10/7/21
Queens,1818711,1638302,10/7/21
Richmond,322469,288469,10/7/21
Bronx,953073,829338,10/8/21
Kings,1667264,1482000,10/8/21
New York,1344508,1185111,10/8/21
Queens,1821066,1641453,10/8/21
Richmond,322944,289140,10/8/21
Bronx,954767,831347,10/9/21
Kings,1669971,1485419,10/9/21
New York,1345687,1186342,10/9/21
Queens,1823310,1644574,10/9/21
Richmond,323295,289725,10/9/21
Bronx,955302,832103,10/10/21
Kings,1671329,1487337,10/10/21
New York,1346231,1186879,10/10/21
Queens,1824473,1646256,10/10/21
Richmond,323414,289984,10/10/21
Bronx,956993,833955,10/11/21
Kings,1673554,1489918,10/11/21
New York,1347266,1187840,10/11/21
Queens,1826129,1648476,10/11/21
Richmond,323697,290546,10/11/21
Bronx,959207,836952,10/12/21
Kings,1677935,1494877,10/12/21
New York,1349050,1189577,10/12/21
Queens,1828645,1651886,10/12/21
Richmond,324256,291274,10/12/21
Bronx,961184,839773,10/13/21
Kings,1680621,1498252,10/13/21
New York,1350560,1191002,10/13/21
Queens,1830863,1654705,10/13/21
Richmond,324595,291914,10/13/21
Bronx,963210,842724,10/14/21
Kings,1683173,1501784,10/14/21
New York,1351868,1192368,10/14/21
Queens,1832704,1657139,10/14/21
Richmond,325107,292762,10/14/21
Bronx,965360,845928,10/15/21
Kings,1686094,1506045,10/15/21
New York,1353578,1194132,10/15/21
Queens,1835044,1660561,10/15/21
Richmond,325434,293369,10/15/21
Bronx,966712,847876,10/16/21
Kings,1688240,1509376,10/16/21
New York,1354796,1195208,10/16/21
Queens,1836952,1663224,10/16/21
Richmond,325774,294025,10/16/21
Bronx,967297,848682,10/17/21
Kings,1689425,1511373,10/17/21
New York,1355486,1195837,10/17/21
Queens,1837910,1664708,10/17/21
Richmond,325924,294413,10/17/21
Bronx,968986,851324,10/18/21
Kings,1691828,1514946,10/18/21
New York,1356820,1197129,10/18/21
Queens,1839982,1667373,10/18/21
Richmond,326246,295059,10/18/21
Bronx,970905,853987,10/19/21
Kings,1694216,1518436,10/19/21
New York,1358370,1198583,10/19/21
Queens,1841912,1670117,10/19/21
Richmond,326598,295618,10/19/21
Bronx,972860,856600,10/20/21
Kings,1696672,1521890,10/20/21
New York,1359891,1199863,10/20/21
Queens,1843968,1672758,10/20/21
Richmond,327018,296363,10/20/21
Bronx,973592,857597,10/21/21
Kings,1697571,1523247,10/21/21
New York,1360430,1200395,10/21/21
Queens,1844645,1673774,10/21/21
Richmond,327276,296746,10/21/21
Bronx,973636,857631,10/22/21
Kings,1697592,1523260,10/22/21
New York,1360459,1200406,10/22/21
Queens,1844716,1673837,10/22/21
Richmond,327279,296750,10/22/21